CENTRO;EQUIPAMENTO;TIPO;MODELO;DESCRIÇÃO;RACK;SLOT;PA;NUM. SÉRIE;VERSÃO SW
SITE095   ;PRT01.SITE095       ;CHASSIS;8818                ;ROTEADOR CISCO 8818                               ;;;;FOX2613P2RA;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;8818                ;Cisco 8818 18-slot Chassis                        ;0;;;FOX2613P2RA;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;n/a                 ;Backup Chassis Idprom                             ;0;;;NULL       ;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510F04;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510EHA;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255103HS;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255109W8;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510EHA;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255103EJ;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;n/a                 ;IOFPGA Golden region                              ;0;0;0;NULL       ;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510EEW;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510EFP;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255103GA;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;n/a                 ;LC Aldrin ETHSW Upgrade region                    ;0;0;0;NULL       ;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;n/a                 ;Golden BIOS                                       ;0;0;0;NULL       ;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;n/a                 ;Primary BIOS                                      ;0;0;0;NULL       ;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510EJR;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510EG8;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255103DK;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510F04;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510B72;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510E2C;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS2551096C;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255103FD;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510B72;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510EJ9;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255103PZ;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255109X9;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255103DK;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS2551096C;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;n/a                 ;LC-SW Control Ethernet Switch                     ;0;0;0;NULL       ;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255105ZT;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510EJR;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255109W8;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510EJQ;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510EFG;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;8800-rp             ;Cisco 8800 Route Processor                        ;0;0;0;FOC2524NN5Q;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255103FW;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510361;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;n/a                 ;Golden BIOS                                       ;0;0;0;NULL       ;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;n/a                 ;Zenith Golden region                              ;0;0;0;NULL       ;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;n/a                 ;Zenith Upgrade region                             ;0;0;0;NULL       ;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;n/a                 ;Primary BIOS                                      ;0;0;0;NULL       ;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255103EJ;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255103EZ;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510EFP;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510EDS;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255105ZT;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;n/a                 ;Onboard Flash                                     ;0;0;0;NULL       ;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255103K4;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510E1N;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255103PC;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510EBT;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255105UL;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510EEW;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510F1G;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510ETM;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;n/a                 ;IOFPGA Upgrade region                             ;0;0;0;NULL       ;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;8800-lc-48h         ;Cisco 8800 48x100GE QSFP28 Line Card              ;0;0;0;FOC2551NDCN;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255103FW;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255105V9;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255109CA;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255103HS;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS2551095D;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255105UL;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510EFG;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255103NM;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510F1G;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS255105V9;NULL                          
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510EL2;7.5.3                         
SITE095   ;PRT01.SITE095       ;MÓDULO ;qsfp-100g-lr4-s     ;Cisco QSFP28 100G LR4 Pluggable Optics Module     ;0;0;0;FNS25510361;NULL                          
