CENTRO;EQUIPAMENTO;TIPO;MODELO;DESCRIÇÃO;RACK;SLOT;PA;NUM. SÉRIE;VERSÃO SW
SITE010   ;SPE01.SITE010       ;CHASSIS;ASR1K13             ;ROTEADOR CISCO ASR1K13                            ;;;;FOX1443GET2    ;03.13.04.S.154-3.S4-ext       
SITE010   ;SPE01.SITE010       ;MÓDULO ;asr1013/06-pwr-dc   ;Cisco ASR1013 DC Power Supply                     ;;;;QCS1447R028    ;NULL                          
SITE010   ;SPE01.SITE010       ;MÓDULO ;asr1013/06-pwr-dc   ;Cisco ASR1013 DC Power Supply                     ;;;;QCS1447R004    ;NULL                          
SITE010   ;SPE01.SITE010       ;MÓDULO ;asr1000-rp2         ;Cisco ASR1000 Route Processor 2                   ;;;;JAE15080QZK    ;03.13.04.S.154-3.S4-ext       
SITE010   ;SPE01.SITE010       ;MÓDULO ;asr1000-esp40       ;Cisco ASR1000 Embedded Services Processor, 40Gbps ;;;;JAE15050I1U    ;03.13.04.S.154-3.S4-ext       
SITE010   ;SPE01.SITE010       ;MÓDULO ;asr1013             ;Cisco ASR1013 Chassis                             ;;;;FOX1443GET2    ;NULL                          
SITE010   ;SPE01.SITE010       ;MÓDULO ;asr1013/06-pwr-dc   ;Cisco ASR1013 DC Power Supply                     ;;;;QCS1427R04C    ;NULL                          
SITE010   ;SPE01.SITE010       ;MÓDULO ;asr1013/06-pwr-dc   ;Cisco ASR1013 DC Power Supply                     ;;;;QCS1427R009    ;NULL                          
SITE010   ;SPE01.SITE010       ;MÓDULO ;asr1000-rp2         ;Cisco ASR1000 Route Processor 2                   ;;;;JAE15080FOB    ;03.13.04.S.154-3.S4-ext       
SITE010   ;SPE01.SITE010       ;MÓDULO ;asr1000-esp40       ;Cisco ASR1000 Embedded Services Processor, 40Gbps ;;;;JAE15080FLO    ;03.13.04.S.154-3.S4-ext       
SITE010   ;SPE01.SITE010       ;MÓDULO ;asr1000-sip10       ;Cisco ASR1000 SPA Interface Processor 10          ;;0;;JAE144102MG    ;03.13.04.S.154-3.S4-ext       
SITE010   ;SPE01.SITE010       ;MÓDULO ;sfp-ge-s            ;GE SX                                             ;;0;0;FNS1505299V    ;NULL                          
SITE010   ;SPE01.SITE010       ;MÓDULO ;sfp-ge-s            ;GE SX                                             ;;0;0;FNS150529BU    ;NULL                          
SITE010   ;SPE01.SITE010       ;MÓDULO ;sfp-ge-s            ;GE SX                                             ;;0;0;FNS150529B0    ;NULL                          
SITE010   ;SPE01.SITE010       ;MÓDULO ;spa-5x1ge-v2        ;5-port Gigabit Ethernet Shared Port Adapter       ;;0;0;JAE150807LH    ;NULL                          
SITE010   ;SPE01.SITE010       ;MÓDULO ;sp7041_rev_f        ;GE T                                              ;;0;0;00000MTC1519078;NULL                          
SITE010   ;SPE01.SITE010       ;MÓDULO ;sfp-ge-s            ;GE SX                                             ;;0;0;FNS150529BQ    ;NULL                          
SITE010   ;SPE01.SITE010       ;MÓDULO ;asr1000-sip10       ;Cisco ASR1000 SPA Interface Processor 10          ;;1;;JAE163905D6    ;03.13.04.S.154-3.S4-ext       
