CENTRO;EQUIPAMENTO;TIPO;MODELO;DESCRIÇÃO;RACK;SLOT;PA;NUM. SÉRIE;VERSÃO SW
SITE006   ;PPE01.SITE006       ;CHASSIS;CRS-16              ;ROTEADOR CISCO CRS-16                             ;;;;FXS1812Q081;5.3.4                         
SITE006   ;PPE01.SITE006       ;MÓDULO ;crs-16-fantray      ;CRS 16 Slots Fan Tray for CRS-16/S-B              ;0;;;FXS1814Q1Y7;5.3.4                         
SITE006   ;PPE01.SITE006       ;MÓDULO ;crs-pm-dc           ;Cisco CRS-1 Series DC Power Module 2100W          ;0;;;DTM181600L4;5.3.4                         
SITE006   ;PPE01.SITE006       ;MÓDULO ;crs-pm-dc           ;Cisco CRS-1 Series DC Power Module 2100W          ;0;;;DTM181502J4;5.3.4                         
SITE006   ;PPE01.SITE006       ;MÓDULO ;crs-pm-dc           ;Cisco CRS-1 Series DC Power Module 2100W          ;0;;;DTM181600M4;5.3.4                         
SITE006   ;PPE01.SITE006       ;MÓDULO ;crs-16-pwrsh-dc     ;CRS 16 Slots DC Power Shelf for CRS-16/S-B        ;0;;;FXS1815Q0PE;5.3.4                         
SITE006   ;PPE01.SITE006       ;MÓDULO ;crs-pm-dc           ;Cisco CRS-1 Series DC Power Module 2100W          ;0;;;DTM181600PQ;5.3.4                         
SITE006   ;PPE01.SITE006       ;MÓDULO ;crs-pm-dc           ;Cisco CRS-1 Series DC Power Module 2100W          ;0;;;DTM181600QE;5.3.4                         
SITE006   ;PPE01.SITE006       ;MÓDULO ;crs-pm-dc           ;Cisco CRS-1 Series DC Power Module 2100W          ;0;;;DTM181502NX;5.3.4                         
SITE006   ;PPE01.SITE006       ;MÓDULO ;crs-pm-dc           ;Cisco CRS-1 Series DC Power Module 2100W          ;0;;;DTM181600Q2;5.3.4                         
SITE006   ;PPE01.SITE006       ;MÓDULO ;crs-pm-dc           ;Cisco CRS-1 Series DC Power Module 2100W          ;0;;;DTM181600GP;5.3.4                         
